$Ascii:UWI 02_97-DD-1X,Lam Son JOC,,,
.	.	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Zoneset_Zone_BB	
UWI	Depth   Azimuth Derivation	DTCO3   DTSH5	East	ECGR	HAZI	HCAL	HDEVI	North	R	RHOZ	RLA1	RLA2	RLA3	RLA4	RLA5	RT_HRLT	RXOZ	TNPH	TVD	TVDSS	X	Y	Zoneset_Zone_BB
.	M	.	.	US/F	US/F	.	GAPI	Deg	IN	Deg	.	.	G/C3	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	V/V	.	.	.	.	.	
null	1146.048	226.2892	0.7068	56.4887	259.9018	0	93.1939	226.2892	12.4536	0.7068	0	0	1.903	0.0127	0.009	0.0061	0.0026	0.0005	0.0005	0.0323	0.5851	1146.048	1146.048	0	0	A	
null	1146.2004	226.2892	0.7068	56.4887	259.9018	-0.0014	90.9625	226.2892	12.4335	0.7068	-0.0013	0.0019	1.903	0.0127	0.009	0.0061	0.0026	0.0005	0.0005	0.0323	0.5851	1146.2004	1146.2004	-0.0014	-0.0013	A	
null	1146.3528	226.256	0.7077	56.4887	259.9018	-0.0027	87.8324	226.256	12.4411	0.7077	-0.0026	0.0038	1.903	0.0127	0.009	0.0061	0.0026	0.0005	0.0005	0.0323	0.551	1146.3528	1146.3528	-0.0027	-0.0026	A	
null	1146.5052	226.2229	0.7086	56.4887	259.9018	-0.0041	84.9588	226.2229	12.4486	0.7086	-0.0039	0.0056	1.903	0.0123	0.0087	0.0059	0.0023	0.0004	0.0003	0.03	0.5288	1146.5052	1146.5052	-0.0041	-0.0039	A	
null	1146.6576	226.1898	0.7096	56.4887	259.9018	-0.0054	85.4003	226.1898	12.4453	0.7096	-0.0052	0.0075	1.903	0.0123	0.0086	0.0058	0.0023	0.0003	0.0003	0.0319	0.5834	1146.6576	1146.6576	-0.0054	-0.0052	A	
null	1146.81	226.1569	0.7105	56.4887	259.9018	-0.0068	87.7393	226.1569	12.4411	0.7105	-0.0065	0.0094	1.903	0.012	0.0084	0.0057	0.0021	0.0001	0.0001	0.0327	0.6598	1146.8099	1146.8099	-0.0068	-0.0065	A	
null	1146.9624	226.1241	0.7114	56.4887	259.9018	-0.0082	87.9606	226.1241	12.4411	0.7114	-0.0078	0.0113	1.903	0.0124	0.0086	0.0058	0.0022	0.0001	0.0001	0.0327	0.6568	1146.9623	1146.9623	-0.0082	-0.0078	A	
null	1147.1148	226.0913	0.7123	56.4887	259.9018	-0.0095	89.1608	226.0913	12.4447	0.7123	-0.0091	0.0132	1.903	0.0125	0.0089	0.0061	0.0025	0.0004	0.0004	0.03	0.549	1147.1147	1147.1147	-0.0095	-0.0091	A	
